"univID","stl","mds","mdf","maf","lps","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3","lps.sc","ect.sc","tpg.sc","cle.sc","pmx.sc","ds1.sc","ds2.sc","lpt.sc","ds3.sc"
"Fos.K.18.154",51.85,3,9,8,5.09,7.48,9.26,14,20,6,7.49,3.22,3.12,4.08,1.83,1.95,5.14604245671185,7.51475306597985,9.32480871288037,7.52808165850341,3.23764827684845,3.04867049819365,4.07690798265531,1.85044563475369,1.95171681536615
"Fos.K.18.159",72.67,3,11,10,7.06,13.25,NA,14,19,6,NA,NA,4.22,6.71,2.92,2.82,5.55571887015239,9.48406841038906,NA,NA,NA,3.00602552655566,5.12594626808482,2.10393847769877,2.21451476787679
"Fos.K.18.176",46.1,3,9,8,4.8,8.13,9.86,14,19,6,NA,2.37,2.49,4.64,2.16,1.94,5.29526343764962,9.19115596966131,12.3455423044804,NA,2.73888470474889,2.71615251858564,5.09090660946147,2.45767714675431,2.11284370064896
"Fos.K.18.203",45.44,3,8,7,5.36,8.2,9.09,14,19,6,8.64,2.69,4.96,5.85,1.75,2.53,5.97667445669334,9.40552123406803,11.6896981724816,10.038915767897,3.16223362508465,5.48403860903561,6.4925402756393,2.02020770283912,2.78411087451567
"Fos.K.18.204",58.95,3,9,8,4.97,8.86,11.24,14,19,6,9.31,2.56,1.96,2.97,2.31,2.08,4.56816824777822,7.82479693184634,8.92286605929028,8.12666952354971,2.21111577789899,1.69833811575533,2.67973785573418,2.0534587674904,1.89842657164693
"Fos.K.18.209",49.54,3,9,8,NA,NA,9.71,14,19,6,NA,2.55,3,4.91,2.57,1.92,NA,NA,10.6396923419228,NA,2.70615617293079,3.05921643229279,5.08740771528297,2.72036948351232,1.98566820235725
"Fos.K.18.210",41.75,2,9,8,4.09,4.87,7.9,14,20,7,5.48,NA,0,3.18,1.59,1.45,4.85645980841834,6.08187314018886,11.8859087658452,6.98824525822584,NA,0,3.77523780528221,1.99838706723909,1.69576544596947
"Fos.K.18.212",45.1,1,9,8,4.81,6.24,8.78,14,19,7,6.75,1.92,0,0,2.86,1.95,5.39337944988318,7.21156224878894,11.4492969699897,7.90789261712813,2.27722294279748,0,0,3.32658358174995,2.15746899317363
"Fos.K.18.214",36.55,3,9,8,3.42,5.64,8.15,14,21,5,5.79,1.99,2.16,2.87,2.01,2.02,4.48231393598715,8.05015095480558,15.6900161766219,8.545562737606,3.02735524334257,2.92823450967676,3.78749418984448,2.88716574662348,2.5993368243208
"Fos.K.18.215",51.26,3,9,8,4.19,NA,10.23,14,20,6,8.4,3.08,0.198,4.06,1.91,1.92,4.27227061684769,NA,10.5224171970887,8.54954129284702,3.13913684520979,0.195557699219082,4.09402350689319,1.95365577230302,1.93755939081468
"Fos.K.18.225",70.17,3,9,8,5.84,NA,NA,14,19,6,NA,NA,3.06,4.69,3.43,2.29,4.7166482484255,NA,NA,NA,NA,2.25235939656637,3.68398846843471,2.55980545656624,1.84412545715021
