"univID","stl","ips","mds","mdf","maf","lps","ips.prop","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3"
"Fos.K.04.126",46.54,0,1,8,8,0,0,6.13,0,15,19,5,NA,2.54,0,0,1.5,1.48
"Fos.K.04.127",42.41,1,1,10,9,0,0.333333333333333,6,1.64,14,20,5,6.44,2.35,0,0,1.71,1.65
"Fos.K.04.276",33.77,1,1,10,9,0,0.333333333333333,4.53,1.03,14,19,5,5.11,1.74,0,0,1.54,1.57
"Fos.K.04.188",46.5,1,1,9,8,0,0.333333333333333,5.88,1.01,14,18,5,6.12,1.47,0,0,1,1.24
"Fos.K.04.052",36.05,1,1,9,8,0,0.333333333333333,5.41,1.77,15,19,5,5.25,1.58,0,0,1.14,1.1
"Fos.K.04.039",41.45,1,1,9,8,0,0.333333333333333,6.11,1.53,NA,19,6,NA,1.54,0,0,1.15,1.94
"Fos.K.04.105",39.05,1,1,9,8,0,0.333333333333333,5.48,1.53,14,19,5,5.69,1.92,0,0,1.34,1.33
"Fos.K.04.103",34.76,1,1,9,8,0,0.333333333333333,4.58,2.01,14,19,5,NA,1.65,0,0,1.06,1.49
"Fos.K.04.081",42.07,1,1,9,8,0,0.333333333333333,5.49,1.16,14,19,5,5.61,1.74,0,0,0.92,1.33
"Fos.K.04.183",45.6,1,1,9,8,0,0.333333333333333,6.02,1.74,14,18,5,5.52,2.1,0,0,0.81,1.62
"Fos.K.04.160",34.38,1,0,9,9,0,0.333333333333333,4.97,1.19,14,18,5,NA,NA,NA,NA,1,NA
"Fos.K.04.195",44.48,1,1,9,8,0,0.333333333333333,5.77,1.53,14,19,5,6.33,2.14,0,0,0.95,1.04
"Fos.K.04.00208-1",45.8,1,1,10,8,0,0.333333333333333,6.51,1.58,15,19,5,7.28,2.55,0,0,1.2,1.59
"Fos.K.04.00208-2",38.18,1,1,10,9,0,0.333333333333333,5.32,1.4,NA,19,5,5.35,1.85,0,0,1.15,1.42
"Fos.K.04.00208-3",40.44,1,1,10,9,0,0.333333333333333,5.87,1.27,NA,19,5,NA,2.27,0,0,1.56,1.48
"Fos.K.04.00208-4",46.42,1,1,10,8,0,0.333333333333333,6.87,2.8,14,19,5,6.94,2.11,0,0,1.32,1.34
"Fos.K.04.00208-5",NA,1,1,10,9,0,0.333333333333333,NA,NA,14,19,5,NA,NA,0,0,NA,NA
"Fos.K.04.00208-6",41.36,1,1,7,7,0,0.333333333333333,6.02,1.61,15,18,4,6.2,NA,0,0,NA,1.18
"Fos.K.04.00208-7",41.89,1,1,9,8,0,0.333333333333333,6.48,1.85,14,19,5,6.51,2.2,0,0,2.09,1.27
"Fos.K.04.274",45.89,1,1,10,8,0,0.333333333333333,5.35,1.42,14,19,6,6.01,1.56,0,0,1,1.36
"Fos.K.04.128",39.65,0,1,10,8,0,0,5.92,0,NA,19,5,6.58,2.27,0,0,1.14,1.29
"Fos.K.03.010",59.85,0,1,10,9,0,0,NA,0,14,19,5,NA,NA,0,0,NA,1.1
"Fos.K.03.113",56.05,1,2,9,9,0,0.333333333333333,8.23,1.57,14,19,5,8.98,3.07,0,4.11,1.46,1.72
"Fos.K.03.114",54.92,0,1,10,10,0,0,7.26,0,15,19,5,NA,2.47,0,0,1.88,1.1
"Fos.K.03.116",47.41,1,0,9,9,0,0.333333333333333,4.79,1.51,14,19,4,NA,NA,NA,NA,NA,NA
"Fos.K.03.117",36.16,1,0,10,7,0,0.333333333333333,NA,1.26,14,19,4,5.71,1.47,NA,NA,NA,NA
"Fos.K.03.118",44.78,1,1,10,8,0,0.333333333333333,4.95,2.09,NA,18,NA,NA,NA,0,0,0.98,0.97
"Fos.K.03.120",47.77,0,1,10,8,0,0,6.2,0,14,19,5,NA,1.96,0,0,1.97,1.33
"Fos.K.03.121",65,1,1,NA,NA,0,0.333333333333333,8.43,3.65,NA,19,5,10.18,3.22,0,0,2.09,1.14
