univID,stl,ips,mds,mdf,maf,lps,ips.prop,ect,tpg,mav,mcv,mpt,cle,pmx,ds1,ds2,lpt,ds3,lps.sc,ect.sc,tpg.sc,cle.sc,pmx.sc,ds1.sc,ds2.sc,lpt.sc,ds3.sc
Fos.K.11.045,58.03,1.2,1,NA,10,0,0.4,NA,5.93,14,19,5,9.62,NA,0,0,1.82,0.99,0,NA,5.536407758,8.974515039,NA,0,0,1.73143227,0.960528058
Fos.K.11.046,39.42,1,2,9,8,0,0.333333333,5.37,2.05,NA,19,6,5.8,NA,0,3.17,1.12,1.33,0,7.240631957,2.78425083,7.904724415,NA,0,3.598298769,1.398928014,1.521801359
Fos.K.11.050,54.53,1,1,9,8,0,0.333333333,8.08,2.27,14,19,6,9.09,2.73,NA,2.87,1.7,NA,0,8.014174419,2.251059687,9.013300838,2.702245355,NA,2.860062717,1.689684753,NA
Fos.K.11.051,38.09,1,1,9,8,0,0.333333333,NA,1.3,14,19,5,NA,NA,0,0,1.33,1.29,0,NA,1.825349219,NA,NA,0,0,1.7018607,1.497800246
Fos.K.11.059,43.81,2,1,11,9,0,0.666666667,NA,3.33,14,19,5,NA,2.52,0,0,0.94,1.3,0,NA,4.082720749,NA,3.231023317,0,0,1.089977852,1.42196849
Fos.K.11.060,44.62,1,2,9,8,0,0.333333333,6.23,1.6,NA,20,5,NA,2.26,0,2.49,1.86,1.17,0,7.470777667,1.927140298,NA,2.835583692,0,2.689333316,2.129122976,1.269810148
Fos.K.11.062,39.14,1,0,9,8,0,0.333333333,5.2,1,14,19,5,NA,1.5,NA,NA,1.54,NA,0,7.058869545,1.367587962,NA,2.197352414,NA,NA,1.933204549,NA
Fos.K.11.065,43.49,3,2,10,8,3.83,1,6.6,5.56,14,20,5,6.26,NA,0,3.03,1.91,1.42,4.420426687,8.108936273,6.865407984,7.748223803,NA,0,3.306419467,2.226203819,1.558091662
Fos.K.11.070,39.8,3,2,10,8,2.9,1,5.23,5.18,14,20,5,6.28,NA,0,1.95,NA,1.06,3.548437238,6.988131471,6.970207299,8.478794894,NA,0,2.204960241,NA,1.207911266
Fos.K.11.071,45.08,1,1,10,10,0,0.333333333,7.06,2.3,14,19,5,7.77,NA,0,0,1.65,1.22,0,8.384307946,2.742859563,9.284574362,NA,0,0,1.875147596,1.31829561
Fos.K.11.074,71.45,1,1,10,8,0,0.333333333,10.65,3.25,14,20,5,NA,4.22,0,0,2.21,1.01,0,8.179565046,2.480163863,NA,3.034799519,0,0,1.815981638,0.8967233
Fos.K.11.075,41.55,1.2,1,10,8,0,0.4,5.87,3.26,14,19,5,6.05,1.92,0,0,0.78,1.63,0,7.530306252,4.207452382,7.830880384,2.620793244,0,0,0.93881544,1.823667266
Fos.K.11.076,46.93,1,2,9,8,0,0.333333333,6.76,1.92,14,20,5,6.96,2.49,0,2.64,1.41,1.05,0,7.728231598,2.202147781,7.995178496,2.943198658,0,2.794173196,1.557659075,1.115300878
Fos.K.11.083,45.38,2,2,9,8,0,0.666666667,NA,5.69,NA,19,6,NA,2.02,0,4.21,1.36,1.91,0,NA,6.742110067,NA,2.484359552,0,4.516314851,1.538374989,2.058058223
Fos.K.11.084,78.41,1,1,11,NA,0,0.333333333,NA,3.37,14,20,5,NA,3.58,0,0,1.97,2.12,0,NA,2.350156785,NA,2.306631844,0,0,1.516217665,1.809063614
Fos.K.11.085,45.17,1,1,9,7,0,0.333333333,NA,2.76,14,18,5,7.01,2,0,0,1.52,1.16,0,NA,3.285074495,8.360069799,2.473286297,0,0,1.724984608,1.252395511
Fos.K.11.086,53.04,NA,2,8,7,NA,NA,NA,NA,14,19,5,NA,NA,0,3.62,1.81,1.84,NA,NA,NA,NA,NA,0,3.647792402,1.834454832,1.855020371
Fos.K.11.088,45.61,3,1,10,8,3.12,1,6.29,6.9,14,20,5,NA,NA,0,0,1.63,1.33,3.489788427,7.387703797,8.135878901,NA,NA,0,0,1.837236245,1.43001116
